Palavra_1;Palavra_2;Google;CB_100_5;CB_100_10;CB_200_5;CB_200_10;CB_300_5;CB_300_10;SK_100_5;SK_100_10;SK_200_5;SK_200_10;SK_300_5;SK_300_10;CB_100_5_S;CB_100_10_S;CB_200_5_S;CB_200_10_S;CB_300_5_S;CB_300_10_S;SK_100_5_S;SK_100_10_S;SK_200_5_S;SK_200_10_S;SK_300_5_S;SK_300_10_S
money;capital;0,263719;0,313931;0,245559;0,265150;0,265745;0,288595;0,231318;0,335672;0,344208;0,299346;0,266713;0,214666;0,212405;0,260679;0,267514;0,279109;0,234181;0,292449;0,264878;0,421633;0,358843;0,314071;0,307326;0,221276;0,229387
money;cash;0,615122;0,661997;0,667253;0,607890;0,644851;0,596927;0,625013;0,678855;0,660059;0,537047;0,546502;0,459889;0,505675;0,678501;0,668803;0,624041;0,650182;0,612106;0,650002;0,677933;0,656300;0,566521;0,541559;0,512839;0,526055
money;salary;0,255807;0,382836;0,369686;0,326636;0,349681;0,335761;0,352041;0,370399;0,421248;0,310164;0,309135;0,276661;0,228102;0,443598;0,419847;0,357073;0,362908;0,370168;0,336192;0,379861;0,400159;0,349618;0,335192;0,264459;0,262934
money;banana;0,020305;-0,110534;-0,121280;-0,102019;-0,094399;-0,093563;-0,120619;0,124184;0,094416;0,111758;0,036347;0,073332;0,047248;0,020583;-0,071247;0,009126;-0,048458;-0,038704;-0,043963;0,084909;0,061250;0,091142;0,100999;0,068306;0,070361
country;state;0,435986;0,311870;0,396597;0,287732;0,297384;0,285393;0,263957;0,545967;0,581156;0,402222;0,446040;0,300561;0,370519;0,432387;0,429637;0,368862;0,351629;0,325744;0,333383;0,547135;0,560196;0,423126;0,450413;0,353187;0,374615
country;nation;0,724287;0,586510;0,604041;0,586362;0,580616;0,562727;0,543288;0,776809;0,799081;0,634655;0,648239;0,514048;0,562749;0,657335;0,623652;0,623266;0,598784;0,562863;0,571132;0,768193;0,792757;0,670416;0,697715;0,591532;0,614702
country;continent;0,613089;0,710972;0,673728;0,627842;0,623790;0,614174;0,619111;0,673257;0,664357;0,567840;0,530862;0,471435;0,451431;0,713217;0,713061;0,645596;0,658810;0,643550;0,594529;0,683000;0,660872;0,512061;0,489956;0,452166;0,455904
country;region;0,601515;0,672382;0,632899;0,571570;0,569260;0,569380;0,550898;0,685398;0,678943;0,562089;0,595580;0,463709;0,466586;0,751917;0,734010;0,675078;0,633782;0,630787;0,622892;0,759130;0,720791;0,604096;0,601619;0,476141;0,533804
country;car;0,146440;0,063072;0,034907;0,014664;-0,016057;0,022227;-0,015980;0,200510;0,225716;0,179973;0,162866;0,100083;0,165643;0,175674;0,086243;0,126116;0,084953;0,143206;0,080937;0,294545;0,185265;0,196963;0,191710;0,139956;0,153027
country;banana;0,113340;-0,144980;-0,162352;-0,144778;-0,188722;-0,099521;-0,121975;0,243416;0,280256;0,200050;0,203883;0,173915;0,196378;0,027469;-0,079007;0,000193;-0,064413;-0,027553;-0,048846;0,226756;0,200850;0,196710;0,202288;0,171552;0,201974
